Donor Name,Flow Type,Aid Type,Channel/ Receipient,Description,Amount
GSK,International,,"Save the Children, Care International, AmeriCares, Direct Relief and Project HOPE ","Following the earthquake in Nepal, GSK is working with our humanitarian aid partners providing urgently needed funds and medical supplies to support their response in the affected area. GSK has donated £50,000, or about $76,000 USD, each to Save the Children and CARE International, providing for the immediate needs of shelter, water, food, hygiene and sanitation. Both CARE International and Save the Children have a long-established presence in Nepal and are providing an immediate response. We are also working with our medicine donation partners – AmeriCares, Direct Relief and Project HOPE – who are experienced in the delivery of humanitarian aid, to assess medical needs and respond. A first small consignment of antibiotics and anti-infective creams from GSK has already been delivered by a team from AmeriCares, to be followed by further shipments in the coming days and weeks.",152000
HNA Group,International,Cash,Hainan Liberation Commonweal Foundation,"HNA Group has decided to donate $1M to earthquake-stricken Nepal via Hainan Liberation Commonweal Foundation to help with rescue work and reconstruction. At the same time, HNA Group will facilitate the arrangement of volunteers and relief materials under national deployment.",1000000
Honda,International,Cash,Humanitarian relief organization,"Honda will donate approximately 20 million Japanese yen (about $168,000 USD) and supporting equipment to support the relief and recovery effort of the severely affected area through the humanitarian relief organization.",168000
Hospital Corporation of America,International,Cash,"Doctors without Borders, Medshare International","HCA will donate $250,000 to Doctors Without Borders and $250,000 to MedShare International, a non-profit that redistributes surplus supplies and equipment to those in need. Additionally, HCA will match up to $500,000 of donations from HCA employees and vendors to the American Red Cross to support its relief effort in Nepal.",500000
Hudson's Bay Company,International,Cash,Canadian Red Cross,"Hudson's Bay Company Foundation announced an estimated $41,000 USD donation to the Canadian Red Cross in response to the Nepal earthquake.",41000
Idea Cellular,International,Inkind,Information on recipient not available,India telecom operator Idea Cellular has announced to its customers that all calls from India to Nepal will be charged at the local rate of Re 1 per minute instead of the usual Re 12 per minute.,
IKEA,International,Cash,UNICEF,"The IKEA Foundation has announced that their organization is donating 3 million euros, or about $3,350,000 USD, to UNICEF to support emergency relief efforts in Nepal. The IKEA Foundation is UNICEF's largest private sector partner and this donation will ensure that aid is reaching the children of Nepal.",3350000
Intrepid Travel,International,Cash,Plan International,"The Intrepid Foundation, promises to match donations totally up to around $78,000 to be donated to Plan International.",78000
JPMorgan Chase,International,Cash,"CARE, UNICEF, and the American Red Cross","The JPMorgan Chase Foundation is donating a total of $450,000 to CARE, UNICEF, and the American Red Cross to support recovery efforts in Nepal. In addition, the Foundation will match employee donations up to $275,000 to reach $1 million in donations by the company and its employees.",450000
Kellogg's,International,Cash,UN World Food Programme,"The global cereal company announced their $200,000 donation to the United Nation's affiliated World Food Programme, whose aim will be the disaster relief of those in need in Nepal.",200000
"Lifeway Foods, Inc.",International,Inkind,UN World Food Programme,"Through the Charity Miles smart-phone app, Lifeway Foods is pledging support to the UN World Food Programme (WFP). For every mile tracked with the app, Lifeway Foods will donate an extra 25 cents in additional support to WFP.",
Marsh & McLennan,International,Cash,Red Cross,"Marsh & McLennan Companies will match all colleague contributions made through the Red Cross. In addition, the Company has committed $50,000 to the rebuilding efforts.",50000
MetLife,International,Cash,International Medical Corps organization,"The MetLife Foundation announced a $250,000 donation to the International Medical Corps organization. The donation will provide on-the-ground healthcare services to the earthquake survivors and to provide medical first repsonders with necessary supplies in their efforts.",250000
Microsoft,International,Cash,Information on recipient not available,"In addition to offering free Skype calls to and from Nepal, Microsoft has pledged a minimum of $1 million in monetary and in-kind donations to support relief efforts. Microsoft is also encouraging their employees to donate to the cause, and in response, Microsoft will match their donations.",1000000
MoneyGram,International,Cash,AmeriCares,"Through a series of initiatives, MoneyGram is encouraging employees and customers to donate to the American Red Cross, waiving transaction fees for customers making a donation. In addition, MoneyGram is donating $25,000 to AmeriCares for immediate relief efforts.",25000
National Bank of Canada,International,Cash,Canadian Red Cross,"National Bank of Canada announced its support of the Canadian Red Cross with a $15,000 donation to relief efforts in Nepal.",15000
New York Life,International,Cash,Save the Children for their Earthquake Children's Relief Fund,"New York Life is providing $50,000 to Save the Children for their Earthquake Children's Relief Fund.",50000
Nikon,International,Cash,Japanese Red Cross,"In response to this tragedy and to extend an immediate support to the victims and affected areas, the Nikon group has decided to provide close to $43,000 of financial assistance to the Japanese Red Cross.",43000
Oxigen,International,Inkind,Information on recipient not available,"For the month following the earthquake, Oxigen, an online payment wallet company, is donating 1% of its daily transactions to the victims recovering in Nepal.",
Panasonic,International,Cash,Japan Platform,"In addition to Panasonic Corporation and Panasonic group companies in India donating monetary and in-kind donations valued at over $50,000, Panasonic will also donate another estimated $40,000 to Japan Platform. Panasonic Group Companies in India will be donating supplies, including 250 solar lantern units, 10,000 dry cell battery pieces, and 1,000 flash lights.",90000
Paper Source,International,Inkind,Information on recipient not available,"Paper Source will be donating 20% of proceeds from its Lokta paper, handcrafted in Nepal, to support earthquake recovery.",
PayPal,International,Inkind,Information on recipient not available,PayPal is waiving traditional transaction fees for donations made through their services to the earthquake relief. 100% of users' donations are goingdirectly to the user's relief organization of choice.,
Paytm,International,Inkind,Information on recipient not available,India's fast growing pay-through-mobile shopping site is matching donations made through their website to go directly to a fund set up by the government of India’s Nepal specific region. Coupons can be selected at checkout with values ranging from Rs 10 to Rs 10000.,
Pepsico India,International,Inkind,Information on recipient not available,"Pepsico India announced that it is sending 60,000 one liter bottles to earthquake destroyed portions of Nepal.",
Pimco Foundation,International,Inkind,"Save the Children, CARE",Both the PIMCO US and Europe Foundations are making disaster assistance donations to Save the Children and CARE. The PIMCO Foundation will also match employees' donations.,
Procter & Gamble,International,Cash,"AmeriCares, CARE, International Medical Corps, Save the Children and World Vision","To aid the critical need for food, shelter and other necessities, P&G has provided $500,000 to support long-standing global emergency relief partner organizations currently working on the ground in Nepal including AmeriCares, CARE, International Medical Corps, Save the Children and World Vision. P&G is also working with partners to supply P&G Purifier of Water packets. The initial response will include enough packets to provide 2 million liters of clean drinking water.",500000
"Qualcomm, Inc.",International,Cash,Mercy Corps,"Qualcomm Incorporated is contributing US$100,000 to Mercy Corps to assist with disaster relief and response efforts.",100000
Rasna,International,Inkind,Information on recipient not available,"To aid in recovery efforts, beverage maker Rasna of India is sending seven tons of glucose powder and milkshake mix to the survivors in Nepal.",
Royal Bank of Canada,International,Cash,Canadian Red Cross,"The Royal Bank of Canada announced its support of relief efforts in Nepal through a $75,000 donation to the Canadian Red Cross.",75000
SAP,International,Cash,German Red Cross,"SAP will donate EUR 100,000 through the SAP Foundation to aid immediate relief efforts for the thousands of victims of the disastrous earthquake in Nepal. This donation will support the German Red Cross, which has sent aircraft with 60 tons of relief supplies, including family tents, blankets, hygiene kits, cooking sets and water canisters, as well as a drinking water treatment plant to Nepal.",100000
Scotiabank,International,Cash,Canadian Red Cross,"In addition to encouraging Canadians to donate to relief efforts at their local Scotiabank branch locations, Scotiabank is also donating $50,000 to the Canadian Red Cross.",50000
Sealed Air,International,Cash,American Red Cross,"Sealed Air will be donating $25,000 to the American Red Cross, earmarked for Nepal earthquake aid. Additionally, employees may make voluntary donations through a Sealed Air-branded American Red Cross global micro site. The company will mobilize hotel customers to do Linens for Life™, recycling hotels’ towels, bed sheets and pillow cases and will work with distributors in Nepal to donate hospital sanitizers and floor care product overstocks. In addition, company employees in India will be organizing a clothing drive.",25000
Sears Canada,International,Inkind,Information on recipient not available,"Sears Canada Inc. is making it easy for Canadians to help the people of Nepal by accepting donations to the Sir Edmund Hillary Foundation of Canada (SEHF) at all Sears retail stores across Canada, and by phone, beginning Wednesday, April 29 through Monday, May 4. Sears Canada is also making a corporate donation based on what its customers and team members donate.",
Sega Games,International,Cash,Japanese Red Cross,"Sega Games will donate two million yen, an equivalent of $16,800 to the Japanese Red Cross. In addition, the gaming company will also donate all revenue from a variety of its in-game purchases to relief efforts in Nepal.",16800
Shaw Communications,International,Cash,Canadian Red Cross,"Shaw Communications of Calgary, Alberta announced that it will match employee donations up to a total of $100,000 for the Canadian Red Cross.",100000
Sprint,International,Inkind,Information on recipient not available,"Sprint announced that they will waive all fees associated with contacting individuals in Nepal dating back to April 25 until May 16, 2015 in an effort to increase communication to the area - aiding families and friends but also emergency personnel.",
Square Cash,International,Inkind,Information on recipient not available,"Square Cash, the mobile payment company, set up a unique ""cashtag"" for users to directly donate funds to UNICEF relief efforts.",
Sun Life Financial,International,Cash,Canadian Red Cross,"Sun Life Financial reports a $50,000 donation to the Canadian Red Cross to assist in recovery efforts.",50000
Surya Nepal,National,Inkind,Information on recipient not available,"A subsidiary of ITC Limited, Surya Nepal has sent 200,000 food packets in addition to supplies of biscuits and instant noodles to Nepal.",
Sutter Health,International,Cash,American Red Cross and International Medical Corps,"Sutter Health announced its commitment to aiding Nepal with a $250,000 donation to both the American Red Cross and International Medical Corps, for a total of $500,000.",500000
T-Mobile,International,Inkind,Information on recipient not available,"As of April 26th, T-Mobile announced that all calls and texts to and from Nepal will be waived. The announcement includes T-Mobile, MetroPCS, GoSmart Mobile, and Walmart Family Mobile customers.",
Tangerine,International,Cash,Canadian Red Cross,"Tangerine, a direct banking service in Canada, is encouraging clients to donate to the Canadian Red Cross through their checking accounts and promises to match customer donations up to a toal of around $41,000 USD.",41000
Tata Teleservices,International,Inkind,Information on recipient not available,"Tata Teleservices announced that calls placed between India and Nepal would be charged at a local rate, instead of the usual international rate, to help families and friends contact loved ones in the devastated regions of Nepal.",
TD Bank Group,International,Cash,Red Cross,"TD Bank Group announced on April 27th their commitment to helping victims of Nepal's earthquake with a $50,000 donation the Red Cross.",50000
Time Warner Cable,International,Inkind,Information on recipient not available,"Time Warner Cable home phone and business services customers can place calls free of charge to Nepal, India, and China as of April 25th through May 25th.",
Toyota,International,Cash,Japan Platform,"To support local relief efforts, Toyota Motor Corporation and Toyota Tsusho Corporation will be making a combined donation of 10 million yen, or about $84,000 USD. This will be provided through Japan Platform, a emergency humanitarian aid organization.",84000
Trinity Broadcasting Network,International,Cash,Samaritan's Purse,"Trinity Broadcasting Network (TBN) is partnering with Samaritan's Purse, a humanitarian group headed by Franklin Graham which has a disaster response team and medical personnel on the ground in Katmandu, Nepal. Samaritan's Purse has dispatched an initial airlift of 60 tons of relief supplies to the area. Immediately following news of the earthquake, TBN forwarded a check for $100,000 to Samaritan's Purse to help with the group's emergency outreach.",100000
Uber,International,Cash,Prime Minister's Relief Fund,Uber India has joined in the relief operations by offering to make donations from its users reach the Prime Minister's Relief Fund. Uber is matching every donation made through its promo code.,
Ubisoft Montreal,International,Cash,Canadian Red Cross,"Ubisoft Montreal has donated $83,136 USD to the Canadian Red Cross to aid in earthquake relief efforts.",83136
UPS,International,Cash,Logistics Emergency Team,"UPS has committed $500,000 in emergency funding to provide emergency aid including sheltering supplies, lanterns, tarps, blankets, jerry cans and comfort kits. The Logistics Emergency Team is on standby awaiting deployment instructions from the Global Logistics Cluster.",500000
Verizon,International,Inkind,Information on recipient not available,"In addition to waiving long-distance calls and texts from April 25 through May 31, Verizon is also matching employees donations of up to $1000 per employee. Verizon Wireless also support test-to-donate programs.",
Viber,International,Inkind,Information on recipient not available,Viber has temporarily switched off billing in Nepal through Viber Out so that local users can make free calls to mobile and land lines. The instant messaging and internet calling company's feature allows for any user with an internet connection to contact family and friends anywhere in the world.,
Visa,International,Cash,Red Cross,"Visa has launched a three-fold approach to aid recovery efforts. First, the company has donated $100,000 to Red Cross. Second, Visa will be double-matching employee donations to a set of humanitarian groups through May 31. Lastly, in conjunction with their clients, Visa will waive the interchange on consumer donations to a set of international relief organizations and donate Visa's revenue from these contributions to the Red Cross.",100000
Vodafone,International,Inkind,Information on recipient not available,"In response to the earthquake, Vodafone has reduced the cost of calls made to and from Nepal. Calls between India and Nepal will only be charged at the local call rate.",
Walmart,International,Cash,"International Medical Corp,American Red Cross","The Walmart Foundation is donating $250,000 to support relief efforts in Nepal – $100,000 to International Medical Corps and $150,000 for the American Red Cross. These funds will provide immediate medical needs, food and shelter for those affected. The company is also working to provide an opportunity for Walmart customers and associates to donate directly to the Red Cross",250000
The Walt Disney Company,International,Cash,Save the Children and American Red Cross,"The Walt Disney Company has committed $1 million to support recovery and rebuilding efforts for victims of the earthquake in Nepal through Save the Children and American Red Cross. In addition, The Walt Disney Company Foundation will match eligible U.S. cast member and employee donations— from $25 up to $15,000 per year—to Save the Children, American Red Cross and other humanitarian organizations approved to participate in the Disney Employee Matching Gifts Program.",1000000
Western Union Foundation,International,Cash,Information on recipient not available,"The Western Union Company announced a multi-faceted response to provide support for families and communities affected by the earthquake in Nepal. The Foundation committed $200,000 in discretionary and matching grants. The Foundation will provide a 1:1 match of contributions from Western Union Agents and other business partners, and 1:2 match of employee donations.Additionally, all money transfers to Nepal will be free of any charges.",200000
Yahoo,International,Cash,"UNICEF, Save the Children, International Medical Corps, Oxfam and various chapters of Red Cross, American Red Cross","Yahoo enabled users globally to donate through their products, including Yahoo.com, News and Search, raising $500,000 for aid organizations, including UNICEF, Save the Children, International Medical Corps, Oxfam and various chapters of Red Cross. Employees contributed an additional $48,000 with Yahoo matching. The Yahoo Employee Foundation also provided a $75,000 emergency grant to the American Red Cross.",623000
Gorkha Brewery Pvt. Ltd.,National,Cash,Prime Minister's Disaster Relief Fund,,100000000
Employees Provident Fund,National,Cash,Prime Minister's Disaster Relief Fund,,20000000
Employees of Employees Provident Fund,National,Cash,Prime Minister's Disaster Relief Fund,,5686600
Agricultural Development Bank Limited,National,Cash,Prime Minister's Disaster Relief Fund,,5001111
Sunrise International Hotel group pvt.ltd,National,Cash,Prime Minister's Disaster Relief Fund,,5000000
Tamdin Dorje Tuladhar ,National,Cash,Prime Minister's Disaster Relief Fund,,5000000
Tashi Cheten,National,Cash,Prime Minister's Disaster Relief Fund,,2000000
"Council member, advisor and secretariat employees",National,Cash,Prime Minister's Disaster Relief Fund,,1917429
"National Planning Commission (Vice President, members and including staff)",National,Cash,Prime Minister's Disaster Relief Fund,,946670
Prime Minister's Office employees,National,Cash,Prime Minister's Disaster Relief Fund,,804112
Former member of parliament,National,Cash,Prime Minister's Disaster Relief Fund,,700000
Ministry of Commerce and Supplies's employee,National,Cash,Prime Minister's Disaster Relief Fund,,364556
Cottage and Small Industry Development Committee's employee,National,Cash,Prime Minister's Disaster Relief Fund,,317605
Employees of ministry of industries,National,Cash,Prime Minister's Disaster Relief Fund,,311974
Byapar Tatha nikasi parwardan kendraka karmachari,National,Cash,Prime Minister's Disaster Relief Fund,,282958
Department of Industries's employees,National,Cash,Prime Minister's Disaster Relief Fund,,266733
Tribhuvan University Employees Union Central commities,National,Cash,Prime Minister's Disaster Relief Fund,,221000
Byapari rahat taha uthan samiti,National,Cash,Prime Minister's Disaster Relief Fund,,211221
Satyanarayan Keyal,National,Cash,Prime Minister's Disaster Relief Fund,,200000
Employees of Company register office ,National,Cash,Prime Minister's Disaster Relief Fund,,169603
"Sudurpachim yatayat bawasayik, Dhangadi",National,Cash,Prime Minister's Disaster Relief Fund,,111111
Association of Nepal Professor ,National,Cash,Prime Minister's Disaster Relief Fund,,111111
Mrigendra Samjhana medical trust,National,Cash,Prime Minister's Disaster Relief Fund,,111111
"District Agriculture Development Office,Bardiya",National,Cash,Prime Minister's Disaster Relief Fund,,105875
"Nepal Bharat Maitrisanga, Chandrouta kapilavastuvata",National,Cash,Prime Minister's Disaster Relief Fund,,105600
"Kailali Multiple Campus,Dhangadi",National,Cash,Prime Minister's Disaster Relief Fund,,100507
Seti Mahakali eta udhyoga byawasayik sang,National,Cash,Prime Minister's Disaster Relief Fund,,100000
Online collection till 2015/5/04,National,Cash,Prime Minister's Disaster Relief Fund,,93718
Collection from diffrent organization and individual 2015/5/04,National,Cash,Prime Minister's Disaster Relief Fund,,52589302
Siddhartha Insurance limited,National,Cash,Prime Minister's Disaster Relief Fund,,225130
"Kishor KUmar Sunar,Ramechhap",National,Cash,Prime Minister's Disaster Relief Fund,,100000
Adhikrit Nijamati Karmachariharuko sangathan,National,Cash,Prime Minister's Disaster Relief Fund,,100000
"District Administration office,Terathum",National,Cash,Prime Minister's Disaster Relief Fund,,200000
Salt Trading Co-operation limited,National,Cash,Prime Minister's Disaster Relief Fund,,1306720
Columbia Council ,National,Cash,Prime Minister's Disaster Relief Fund,,1013500
Rastriya Bima Company limited,National,Cash,Prime Minister's Disaster Relief Fund,,10000000
Rastriya Khelkud Parisadka Sadasya Sachib lagyatka karmarichari,National,Cash,Prime Minister's Disaster Relief Fund,,3870093.46
"Alternative Energy Promotion Center,Khumaltar",National,Cash,Prime Minister's Disaster Relief Fund,,237808.33
Employees of environment department,National,Cash,Prime Minister's Disaster Relief Fund,,173301.67
Employees of small industries department,National,Cash,Prime Minister's Disaster Relief Fund,,123730
Armed Police Force,National,Cash,Prime Minister's Disaster Relief Fund,,63425100
Bhutan ,International,Cash,Prime Minister's Disaster Relief Fund,,101150000
Saudi Arabia HRH Talal Bin Abdul Aziz ,International,Cash,Prime Minister's Disaster Relief Fund,,13149500
Gagan Thapa,National,Cash,Daibik Propakar Udar kosh,"Gagan Thapa has decided to denote his one year salary to earthquack victims of ward no 7,Kathmandu",707616
"Pathivara Himalyan Polytechnical Institute,Itahari ",National,Inkind,Daibik udhar prakop samiti,"Pathivara Himalyan Polytechnical Institute,Itahari distributed one thousand 177 ton clothes to victims of Gorkha",214000
Disaster Emergency Committee,International,Cash,Information on recipient not available,"Joanna Lumley organized an initiative called ""Nepal earthquack apil"" to help raise fund for the earthquack victims",2970000000
Alwaleed Bin Talal Foundations,International,Cash,"International Medical corp,habitat for humanity and world food program",Saudi prince Alwaleed bin talal has declared to provide 10 crore,100000000
Association for Private Education of Nepal (APEN),National,Cash,Prime Minister's Disaster Relief Fund,,50000000
Armed Police Force,National,Cash,Prime Minister's Disaster Relief Fund,Armed police officers provided a part of their salary to accumulate the fund. ,63425100
Upendra Mahato,National,Cash,Fulkumari Mahato Memorial Trust,NRs. 3 Crores will be spent to provide relief materials to victims and remianing 12 Crores will be spent to rebuild earthquake resistant schools.,150000000
Communist Party of Nepal—Maoist,National,Cash,Prime Minister's Disaster Relief Fund,The fund will be raised with the help of party's members. ,1000000
United Nations,International,Cash,,For immediate support to victim,
Ministry of Federal Affairs and Local Development,National,Cash,"VDCs and Municipalities of Sindhupalchowk, Gorkha, Nuwakot, Rasuwa, Dhading, Lalitpur, Kabhrepalanchowk, Dolakha, Ramechhap, Sindhuli","The fund will be spent in providing drinking water, First aid management, temporary shelter and food",452200000
Pacific Asia Travel Association (PATA) Nepal Chapter,National,Inkind,PATA Relief Fund,"Provided Tent, Mattress, Blanket, Food",1500000
Non-Resident Nepali Association,International,Inkind,Information on recipient not available,To provide reilef materials to victims,100000000
"Li Ka Shing Foundation, Hongkong",International,Cash,Prime Minister's Relief Fund,For rescue and relief materials,1000000
European Union,International,Cash,Information on recipient not available,,330000000
NRNA Africa,International,Cash,Information on recipient not available,"NRNA Nigeria, NRNA Kenya and NRNA Tanzania collected the fund",1500000
Hotel Association of Nepal,National,Cash,Prime Minister's Relief Fund,,101000
Rastriya Prajatantra Party,National,Cash,Prime Minister's Relief Fund,,500000
"Chandra Prakash Dhakal, Hemraj Dhakal",National,Cash,Information on recipient not available,Chandra Prakash Dhakal is the president of IME group and Hemraj Dhakal is the Managing Director of IME group,20000000
"Various associations and individuals, Rautahat",National,Inkind,Chief District Offices,"Associations such as Udhyog Banijya Sangh Rautahat, Chandrapur Udhyog Banijya Sangh, Rajdevi FM, Marwadi Sewa Samiti etc and students collected the relief materials and sent to affected areas. ",4000000
"Various associations and individuals, Rautahat",National,Cash,Prime Minister's Relief Fund,"Associations such as Udhyog Banijya Sangh Rautahat, Chandrapur Udhyog Banijya Sangh, Rajdevi FM, Marwadi Sewa Samiti etc and students collected the relief fund. ",234000
Global IME Bank Pvt. Ltd.,National,Cash,Prime Minister's Relief Fund,The bank has pledged to provide fund under their Corporate Social Responsibility,5000000
Global IME Bank Pvt. Ltd.,National,Inkind,Schools of 5 affected districts,The bank has pledged to build one school in 5 affected districts.,10000000
Brunei,International,Inkind,Information on recipient not available,"8 man relief team (2 doctors, 4 paramedics from theRoyal Brunei Armed Forces (RBAF) and Brunei’s Gurkha Reserve Unit (GRU)",0
Colombia,International,Inkind,Information on recipient not available,"Over 1,500 volunteers from national societies.",0
Hong Kong,International,Cash,Information on recipient not available,,6450000
Iran,International,Inkind,Information on recipient not available,"An 80,000 pounds (36,000 kg) relief package (via India)",0
Maldives,International,Inkind,Information on recipient not available,Other aid (TBA),0
Monaco,International,Inkind,Information on recipient not available,Other aid (TBA),0
Slovenia,International,Cash,Information on recipient not available,,55000
International Federation of Red Cross and Red Crescent Societies,International,Cash,Information on recipient not available,"Volunteers (first-aid, search-&-rescue) and blood-bank supplies to areas in the capital",535665
Médecins Sans Frontières (Doctors Without Borders),International,Inkind,Information on recipient not available,Rapid intervention surgical kit with 11-member team left Kathmandu for Ghorka (200 km north-west) (61 staff deployed),0
Belgium,International,Inkind,Information on recipient not available,Search-&-rescue teams,1000000
Netherlands,International,Inkind,Information on recipient not available,"5 tons of relief supplies, 62-man and 8-dog team; several physicians, nurses, and engineers",14146833
Vatican City,International,Inkind,Information on recipient not available,,100000
